"YEAR","START_DATE","END_DATE","JURISDICTION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES"
2008,"2008-01-01","2008-12-31","ACT","All ages","mobile_phone_use","Police issued",2060
2008,"2008-01-01","2008-12-31","NSW","All ages","mobile_phone_use","Police issued",40882
2008,"2008-01-01","2008-12-31","NT","All ages","mobile_phone_use","Police issued",671
2008,"2008-01-01","2008-12-31","QLD","All ages","mobile_phone_use","Police issued",28499
2008,"2008-01-01","2008-12-31","SA","All ages","mobile_phone_use","Police issued",11411
2008,"2008-01-01","2008-12-31","TAS","All ages","mobile_phone_use","Police issued",6780
2008,"2008-01-01","2008-12-31","VIC","All ages","mobile_phone_use","Police issued",49739
2008,"2008-01-01","2008-12-31","WA","All ages","mobile_phone_use","Police issued",15957
2009,"2009-01-01","2009-12-31","ACT","All ages","mobile_phone_use","Police issued",1890
2009,"2009-01-01","2009-12-31","NSW","All ages","mobile_phone_use","Police issued",41167
2009,"2009-01-01","2009-12-31","NT","All ages","mobile_phone_use","Police issued",1106
2009,"2009-01-01","2009-12-31","QLD","All ages","mobile_phone_use","Police issued",33352
2009,"2009-01-01","2009-12-31","SA","All ages","mobile_phone_use","Police issued",14167
2009,"2009-01-01","2009-12-31","TAS","All ages","mobile_phone_use","Police issued",5665
2009,"2009-01-01","2009-12-31","VIC","All ages","mobile_phone_use","Police issued",53101
2009,"2009-01-01","2009-12-31","WA","All ages","mobile_phone_use","Police issued",14804
2010,"2010-01-01","2010-12-31","ACT","All ages","mobile_phone_use","Police issued",2407
2010,"2010-01-01","2010-12-31","NSW","All ages","mobile_phone_use","Police issued",51104
2010,"2010-01-01","2010-12-31","NT","All ages","mobile_phone_use","Police issued",998
2010,"2010-01-01","2010-12-31","QLD","All ages","mobile_phone_use","Police issued",33013
2010,"2010-01-01","2010-12-31","SA","All ages","mobile_phone_use","Police issued",14139
2010,"2010-01-01","2010-12-31","TAS","All ages","mobile_phone_use","Police issued",3735
2010,"2010-01-01","2010-12-31","VIC","All ages","mobile_phone_use","Police issued",54728
2010,"2010-01-01","2010-12-31","WA","All ages","mobile_phone_use","Police issued",11705
